"filename", "language", "JSON", "Luau", "Log", "Markdown", "comment", "blank", "total"
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacks\Cubic\Items\init.lua", "Luau", 0, 1, 0, 0, 0, 0, 1
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\Biomes.lua", "Luau", 0, 31, 0, 0, 0, 1, 32
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\Block\BlockPool.lua", "Luau", 0, 68, 0, 0, 0, 13, 81
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\Block\init.lua", "Luau", 0, 56, 0, 0, 2, 3, 61
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BridgeNet\Bridge.lua", "Luau", 0, 19, 0, 0, 0, 2, 21
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BridgeNet\ClientBridge.lua", "Luau", 0, 351, 0, 0, 12, 88, 451
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BridgeNet\CreateBridgeTree.lua", "Luau", 0, 45, 0, 0, 0, 13, 58
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BridgeNet\SerdesLayer.lua", "Luau", 0, 176, 0, 0, 9, 50, 235
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BridgeNet\ServerBridge.lua", "Luau", 0, 636, 0, 0, 25, 126, 787
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BridgeNet\init.lua", "Luau", 0, 148, 0, 0, 9, 37, 194
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\Chunk\init.lua", "Luau", 0, 54, 0, 0, 1, 5, 60
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\CollisonHandler.lua", "Luau", 0, 311, 0, 0, 10, 22, 343
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\Container\init.lua", "Luau", 0, 305, 0, 0, 5, 33, 343
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\Data\init.lua", "Luau", 0, 61, 0, 0, 0, 4, 65
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\EntityHandler\Animator.lua", "Luau", 0, 151, 0, 0, 0, 7, 158
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\EntityHandler\EntityCollisionHandler.lua", "Luau", 0, 301, 0, 0, 3, 13, 317
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\EntityHandler\EntityContainerManager.lua", "Luau", 0, 66, 0, 0, 0, 4, 70
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\EntityHandler\EntityHolder.lua", "Luau", 0, 19, 0, 0, 0, 0, 19
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\EntityHandler\EntityReplicator\AnimatorR.lua", "Luau", 0, 81, 0, 0, 0, 0, 81
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\EntityHandler\EntityReplicator\Client.lua", "Luau", 0, 218, 0, 0, 3, 5, 226
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\EntityHandler\EntityReplicator\EntityTCP.model.json", "JSON", 3, 0, 0, 0, 0, 1, 4
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\EntityHandler\EntityReplicator\EntityTaskReplicator.lua", "Luau", 0, 50, 0, 0, 0, 4, 54
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\EntityHandler\EntityReplicator\EntityUDP.model.json", "JSON", 3, 0, 0, 0, 0, 1, 4
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\EntityHandler\EntityReplicator\ReplicatorUtils.lua", "Luau", 0, 167, 0, 0, 9, 8, 184
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\EntityHandler\EntityReplicator\Server.lua", "Luau", 0, 3, 0, 0, 0, 0, 3
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\EntityHandler\EntityReplicator\TaskReplicator.lua", "Luau", 0, 85, 0, 0, 0, 12, 97
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\EntityHandler\Render.lua", "Luau", 0, 283, 0, 0, 1, 27, 311
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\EntityHandler\Updater.lua", "Luau", 0, 31, 0, 0, 0, 1, 32
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\EntityHandler\Utils.lua", "Luau", 0, 181, 0, 0, 8, 6, 195
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\EntityHandler\init.lua", "Luau", 0, 382, 0, 0, 17, 53, 452
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\Events\Chunk.model.json", "JSON", 3, 0, 0, 0, 0, 0, 3
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\Events\Container\Request.model.json", "JSON", 3, 0, 0, 0, 0, 0, 3
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\Events\Container\Send.model.json", "JSON", 3, 0, 0, 0, 0, 0, 3
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\Events\Container\Update.model.json", "JSON", 3, 0, 0, 0, 0, 0, 3
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\Events\SwapSlot.model.json", "JSON", 3, 0, 0, 0, 0, 0, 3
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\Events\TaskUpdater.model.json", "JSON", 3, 0, 0, 0, 0, 1, 4
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\GameSettings.lua", "Luau", 0, 15, 0, 0, 1, 2, 18
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\Item\init.lua", "Luau", 0, 46, 0, 0, 0, 7, 53
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\Libarys\Crafting.lua", "Luau", 0, 159, 0, 0, 3, 5, 167
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\Libarys\DataStructures\Queue.lua", "Luau", 0, 25, 0, 0, 0, 5, 30
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\Libarys\DataStructures\Stack.lua", "Luau", 0, 13, 0, 0, 0, 5, 18
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\Libarys\Debris.lua", "Luau", 0, 78, 0, 0, 1, 12, 91
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\Libarys\ErrorHandler.lua", "Luau", 0, 10, 0, 0, 0, 0, 10
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\Libarys\MathFunctions.lua", "Luau", 0, 187, 0, 0, 3, 8, 198
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\Libarys\Signal.lua", "Luau", 0, 59, 0, 0, 2, 15, 76
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\Libarys\WorkerHandler.lua", "Luau", 0, 62, 0, 0, 6, 7, 75
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\Libarys\compressor.lua", "Luau", 0, 169, 0, 0, 2, 12, 183
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\ModHandler\init.lua", "Luau", 0, 223, 0, 0, 9, 29, 261
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\ResourceHandler.lua", "Luau", 0, 90, 0, 0, 0, 6, 96
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\Runner.lua", "Luau", 0, 38, 0, 0, 5, 3, 46
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\Utils\BlockUtils.lua", "Luau", 0, 41, 0, 0, 0, 18, 59
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\Utils\ConversionUtils.lua", "Luau", 0, 31, 0, 0, 4, 7, 42
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\Utils\EntityUtils.lua", "Luau", 0, 1, 0, 0, 0, 0, 1
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\Utils\IndexUtils.lua", "Luau", 0, 126, 0, 0, 0, 10, 136
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\Utils\OtherUtils.lua", "Luau", 0, 60, 0, 0, 1, 6, 67
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\Utils\RotationUtils.lua", "Luau", 0, 169, 0, 0, 0, 0, 169
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerScriptService\__init__.server.lua", "Luau", 0, 32, 0, 0, 0, 5, 37
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\Generation\Data.lua", "Luau", 0, 29, 0, 0, 0, 11, 40
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\Generation\generation\biomes\Biome.lua", "Luau", 0, 13, 0, 0, 1, 4, 18
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\Generation\generation\biomes\LayerStack.lua", "Luau", 0, 9, 0, 0, 0, 1, 10
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\Generation\generation\biomes\biomeUtils.lua", "Luau", 0, 67, 0, 0, 0, 5, 72
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\Generation\generation\biomes\layers\init.lua", "Luau", 0, 58, 0, 0, 0, 0, 58
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\Generation\generation\biomes\layers\land\BaseLandLayer.lua", "Luau", 0, 10, 0, 0, 0, 1, 11
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\Generation\generation\biomes\layers\land\IslandLayer.lua", "Luau", 0, 18, 0, 0, 0, 1, 19
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\Generation\generation\biomes\layers\land\LandLayer.lua", "Luau", 0, 30, 0, 0, 0, 0, 30
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\Generation\generation\biomes\layers\noise\NoiseLayer.lua", "Luau", 0, 13, 0, 0, 0, 2, 15
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\Generation\generation\biomes\layers\scale\ScaleLayer.lua", "Luau", 0, 42, 0, 0, 0, 10, 52
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\Generation\generation\biomes\layers\scale\SmoothScaleLayer.lua", "Luau", 0, 21, 0, 0, 0, 3, 24
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\Generation\generation\biomes\layers\scale\VoronoiLayer.lua", "Luau", 0, 10, 0, 0, 0, 2, 12
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\Generation\generation\biomes\layers\temperature\ColdLayer.lua", "Luau", 0, 18, 0, 0, 0, 3, 21
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\Generation\generation\biomes\layers\temperature\CoolLayer.lua", "Luau", 0, 13, 0, 0, 0, 2, 15
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\Generation\generation\biomes\layers\temperature\SpecialLayer.lua", "Luau", 0, 15, 0, 0, 0, 3, 18
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\Generation\generation\biomes\layers\temperature\WarmLayer.lua", "Luau", 0, 16, 0, 0, 0, 3, 19
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\Generation\generation\chunk\DimensionStack.lua", "Luau", 0, 12, 0, 0, 0, 3, 15
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\Generation\generation\chunk\GenerationLayer\Features\combineLayer.lua", "Luau", 0, 48, 0, 0, 0, 2, 50
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\Generation\generation\chunk\GenerationLayer\Features\oreSampleLayer.lua", "Luau", 0, 11, 0, 0, 0, 2, 13
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\Generation\generation\chunk\GenerationLayer\Features\structureSampleLayer.lua", "Luau", 0, 11, 0, 0, 0, 2, 13
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\Generation\generation\chunk\GenerationLayer\biome\biomeLayer.lua", "Luau", 0, 10, 0, 0, 0, 2, 12
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\Generation\generation\chunk\GenerationLayer\caves\sampleWorm.lua", "Luau", 0, 11, 0, 0, 0, 2, 13
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\Generation\generation\chunk\GenerationLayer\color\surfaceColorLayer.lua", "Luau", 0, 9, 0, 0, 0, 3, 12
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\Generation\generation\chunk\GenerationLayer\init.lua", "Luau", 0, 59, 0, 0, 0, 3, 62
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\Generation\generation\chunk\GenerationLayer\lerp\airStoneLayer.lua", "Luau", 0, 79, 0, 0, 0, 3, 82
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\Generation\generation\chunk\GenerationLayer\lerp\biomeBlendLayer.lua", "Luau", 0, 46, 0, 0, 0, 1, 47
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\Generation\generation\chunk\GenerationLayer\noise\surfaceNoiseLayer.lua", "Luau", 0, 12, 0, 0, 0, 2, 14
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\Generation\generation\chunk\GenerationLayer\other\shapeCombineLayer.lua", "Luau", 0, 18, 0, 0, 0, 1, 19
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\Generation\generation\chunk\GenerationLayer\other\surfaceCombineLayer.lua", "Luau", 0, 11, 0, 0, 0, 2, 13
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\Generation\generation\chunk\Generator\Actor\Main.meta.json", "JSON", 5, 0, 0, 0, 0, 0, 5
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\Generation\generation\chunk\Generator\Actor\Main.server.lua", "Luau", 0, 23, 0, 0, 0, 2, 25
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\Generation\generation\chunk\Generator\Actor\init.meta.json", "JSON", 3, 0, 0, 0, 0, 0, 3
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\Generation\generation\chunk\Generator\Overworld.lua", "Luau", 0, 30, 0, 0, 5, 12, 47
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\Generation\generation\chunk\Generator\Tasks\init.lua", "Luau", 0, 451, 0, 0, 4, 14, 469
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\Generation\generation\chunk\Generator\Utils.lua", "Luau", 0, 22, 0, 0, 0, 0, 22
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\Generation\generation\chunk\Generator\WorkerHandler.lua", "Luau", 0, 70, 0, 0, 0, 7, 77
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\Generation\generation\chunk\Generator\init.lua", "Luau", 0, 45, 0, 0, 0, 1, 46
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\Generation\generation\features\caves\init.lua", "Luau", 0, 15, 0, 0, 0, 3, 18
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\Generation\generation\features\caves\noodle.lua", "Luau", 0, 76, 0, 0, 0, 2, 78
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\Generation\generation\features\caves\perlineWorms.lua", "Luau", 0, 96, 0, 0, 1, 12, 109
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\Generation\generation\features\foliage\init.lua", "Luau", 0, 69, 0, 0, 2, 2, 73
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\Generation\generation\features\ore\init.lua", "Luau", 0, 54, 0, 0, 2, 5, 61
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\Generation\generation\features\structures\init.lua", "Luau", 0, 199, 0, 0, 3, 4, 206
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\Generation\generation\terrian\init.lua", "Luau", 0, 46, 0, 0, 1, 6, 53
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\Generation\math\Carver2.lua", "Luau", 0, 66, 0, 0, 0, 8, 74
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\Generation\math\carver.lua", "Luau", 0, 219, 0, 0, 10, 7, 236
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\Generation\math\noise.lua", "Luau", 0, 47, 0, 0, 0, 8, 55
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\Generation\math\range.lua", "Luau", 0, 31, 0, 0, 1, 2, 34
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\Generation\math\triangularDistribution.lua", "Luau", 0, 28, 0, 0, 1, 3, 32
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\Generation\math\utils.lua", "Luau", 0, 96, 0, 0, 0, 10, 106
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\core\Chunk\ChunkBuilder.lua", "Luau", 0, 35, 0, 0, 4, 1, 40
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\core\Chunk\Generator\Actor\GenerationMain.meta.json", "JSON", 5, 0, 0, 0, 0, 0, 5
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\core\Chunk\Generator\Actor\GenerationMain.server.lua", "Luau", 0, 10, 0, 0, 0, 3, 13
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\core\Chunk\Generator\Actor\ParallelRunner.lua", "Luau", 0, 25, 0, 0, 0, 5, 30
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\core\Chunk\Generator\Actor\init.meta.json", "JSON", 3, 0, 0, 0, 0, 0, 3
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\core\Chunk\Generator\ChunkDataLocal.lua", "Luau", 0, 81, 0, 0, 0, 16, 97
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\core\Chunk\Generator\ChunkDataLocalold.lua", "Luau", 0, 61, 0, 0, 0, 11, 72
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\core\Chunk\Generator\ChunkLayer\biome\BiomeLayer.lua", "Luau", 0, 8, 0, 0, 0, 4, 12
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\core\Chunk\Generator\ChunkLayer\init.lua", "Luau", 0, 48, 0, 0, 0, 3, 51
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\core\Chunk\Generator\ChunkLayer\terrian\ColorLayer.lua", "Luau", 0, 8, 0, 0, 0, 5, 13
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\core\Chunk\Generator\ChunkLayer\terrian\SampleNoiseLayer.lua", "Luau", 0, 18, 0, 0, 0, 4, 22
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\core\Chunk\Generator\ChunkLayer\terrian\StoneAirLayer.lua", "Luau", 0, 30, 0, 0, 0, 5, 35
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\core\Chunk\Generator\Communicator.lua", "Luau", 0, 56, 0, 0, 0, 15, 71
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\core\Chunk\Generator\Config.lua", "Luau", 0, 12, 0, 0, 2, 2, 16
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\core\Chunk\Generator\Handler.lua", "Luau", 0, 105, 0, 0, 8, 17, 130
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\core\Chunk\Generator\HandlerOld.lua", "Luau", 0, 477, 0, 0, 13, 62, 552
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\core\Chunk\Generator\LocalChunk.lua", "Luau", 0, 73, 0, 0, 2, 15, 90
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\core\Chunk\Generator\LocalChunkold.lua", "Luau", 0, 179, 0, 0, 4, 34, 217
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\core\Chunk\Generator\OverworldActorLayer.lua", "Luau", 0, 42, 0, 0, 0, 11, 53
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\core\Chunk\Generator\RegionHelper.lua", "Luau", 0, 18, 0, 0, 0, 2, 20
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\core\Chunk\Generator\Tasks\Shaper.lua", "Luau", 0, 284, 0, 0, 0, 21, 305
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\core\Chunk\Generator\init.lua", "Luau", 0, 32, 0, 0, 0, 6, 38
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\core\Chunk\OverworldBiome.lua", "Luau", 0, 30, 0, 0, 5, 12, 47
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\core\Chunk\OverworldStack.lua", "Luau", 0, 15, 0, 0, 0, 4, 19
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\core\Chunk\init.lua", "Luau", 0, 200, 0, 0, 2, 12, 214
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\core\Entity\EntityBehaviorHandler.lua", "Luau", 0, 106, 0, 0, 0, 2, 108
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\core\Entity\EntityReplicatorServer.lua", "Luau", 0, 242, 0, 0, 6, 9, 257
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\core\ServerContainer\init.lua", "Luau", 0, 193, 0, 0, 18, 31, 242
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\StarterPlayer\StarterPlayerScripts\ClientWorker.lua", "Luau", 0, 66, 0, 0, 0, 7, 73
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\StarterPlayer\StarterPlayerScripts\Controller\init.lua", "Luau", 0, 71, 0, 0, 0, 2, 73
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\StarterPlayer\StarterPlayerScripts\InputHandler\TempSignal.lua", "Luau", 0, 41, 0, 0, 0, 3, 44
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\StarterPlayer\StarterPlayerScripts\InputHandler\init.lua", "Luau", 0, 140, 0, 0, 0, 2, 142
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\StarterPlayer\StarterPlayerScripts\PlayerSettings\KeybindHelper\DeafultKeys.lua", "Luau", 0, 34, 0, 0, 3, 3, 40
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\StarterPlayer\StarterPlayerScripts\PlayerSettings\KeybindHelper\init.lua", "Luau", 0, 88, 0, 0, 0, 0, 88
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\StarterPlayer\StarterPlayerScripts\Render\Actor\Main.client.lua", "Luau", 0, 15, 0, 0, 0, 1, 16
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\StarterPlayer\StarterPlayerScripts\Render\Actor\Main.meta.json", "JSON", 5, 0, 0, 0, 0, 0, 5
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\StarterPlayer\StarterPlayerScripts\Render\Actor\init.meta.json", "JSON", 3, 0, 0, 0, 0, 0, 3
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\StarterPlayer\StarterPlayerScripts\Render\BlockRender.lua", "Luau", 0, 113, 0, 0, 4, 5, 122
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\StarterPlayer\StarterPlayerScripts\Render\BlockTexture.lua", "Luau", 0, 207, 0, 0, 1, 0, 208
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\StarterPlayer\StarterPlayerScripts\Render\ChunkCompressor.lua", "Luau", 0, 0, 0, 0, 0, 1, 1
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\StarterPlayer\StarterPlayerScripts\Render\GreedyMesh.lua", "Luau", 0, 155, 0, 0, 1, 3, 159
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\StarterPlayer\StarterPlayerScripts\Render\RenderStorage.lua", "Luau", 0, 74, 0, 0, 0, 5, 79
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\StarterPlayer\StarterPlayerScripts\Render\RenderStuff.lua", "Luau", 0, 124, 0, 0, 0, 4, 128
