"filename", "language", "Log", "JSON", "Lua", "Markdown", "comment", "blank", "total"
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacks\Cubic\Features\init.lua", "Lua", 0, 0, 70, 0, 1, 2, 73
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacks\Cubic\Functions.lua", "Lua", 0, 0, 198, 0, 9, 3, 210
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacks\Cubic\Info.lua", "Lua", 0, 0, 2, 0, 0, 0, 2
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacks\Cubic\ItemTypes.lua", "Lua", 0, 0, 52, 0, 2, 3, 57
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacks\Cubic\Items\init.lua", "Lua", 0, 0, 80, 0, 1, 6, 87
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacks\Cubic\Server.lua", "Lua", 0, 0, 37, 0, 1, 2, 40
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacks\Cubic\WorldGeneration\c\density_function\overworld\CubicalSurface.lua", "Lua", 0, 0, 17, 0, 0, 0, 17
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacks\Cubic\WorldGeneration\c\density_function\overworld\base_3d_noise.lua", "Lua", 0, 0, 8, 0, 0, 0, 8
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacks\Cubic\WorldGeneration\c\density_function\overworld\continents.lua", "Lua", 0, 0, 13, 0, 0, 0, 13
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacks\Cubic\WorldGeneration\c\density_function\overworld\depth.lua", "Lua", 0, 0, 18, 0, 0, 0, 18
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacks\Cubic\WorldGeneration\c\density_function\overworld\erosion.lua", "Lua", 0, 0, 13, 0, 0, 0, 13
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacks\Cubic\WorldGeneration\c\density_function\overworld\factor.lua", "Lua", 0, 0, 709, 0, 0, 0, 709
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacks\Cubic\WorldGeneration\c\density_function\overworld\jaggedness.lua", "Lua", 0, 0, 246, 0, 0, 0, 246
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacks\Cubic\WorldGeneration\c\density_function\overworld\offset.lua", "Lua", 0, 0, 1200, 0, 0, 1, 1201
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacks\Cubic\WorldGeneration\c\density_function\overworld\ridges.lua", "Lua", 0, 0, 13, 0, 0, 0, 13
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacks\Cubic\WorldGeneration\c\density_function\overworld\ridges_folded.lua", "Lua", 0, 0, 19, 0, 0, 0, 19
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacks\Cubic\WorldGeneration\c\density_function\overworld\sloped_cheese.lua", "Lua", 0, 0, 32, 0, 0, 0, 32
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacks\Cubic\WorldGeneration\c\density_function\shift_x.lua", "Lua", 0, 0, 10, 0, 0, 0, 10
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacks\Cubic\WorldGeneration\c\density_function\shift_z.lua", "Lua", 0, 0, 10, 0, 0, 0, 10
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacks\Cubic\WorldGeneration\c\density_function\y.lua", "Lua", 0, 0, 7, 0, 0, 0, 7
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacks\Cubic\WorldGeneration\c\density_function\zero.lua", "Lua", 0, 0, 1, 0, 0, 0, 1
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacks\Cubic\WorldGeneration\c\noise.lua", "Lua", 0, 0, 41, 0, 0, 1, 42
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacks\Cubic\WorldGeneration\c\noise_settings\overworld.lua", "Lua", 0, 0, 273, 0, 0, 4, 277
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BridgeNet\Bridge.lua", "Lua", 0, 0, 19, 0, 0, 2, 21
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BridgeNet\ClientBridge.lua", "Lua", 0, 0, 351, 0, 12, 88, 451
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BridgeNet\CreateBridgeTree.lua", "Lua", 0, 0, 45, 0, 0, 13, 58
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BridgeNet\SerdesLayer.lua", "Lua", 0, 0, 173, 0, 9, 51, 233
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BridgeNet\ServerBridge.lua", "Lua", 0, 0, 636, 0, 24, 126, 786
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BridgeNet\init.lua", "Lua", 0, 0, 148, 0, 9, 37, 194
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\Chunk.lua", "Lua", 0, 0, 277, 0, 0, 5, 282
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\CollisonHandler.lua", "Lua", 0, 0, 632, 0, 36, 20, 688
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\ConversionUtils.lua", "Lua", 0, 0, 16, 0, 1, 0, 17
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\DataHandler\DoFunc.model.json", "JSON", 0, 3, 0, 0, 0, 1, 4
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\DataHandler\LoadedEntities.lua", "Lua", 0, 0, 52, 0, 0, 1, 53
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\DataHandler\init.lua", "Lua", 0, 0, 161, 0, 5, 3, 169
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\Data\init.lua", "Lua", 0, 0, 28, 0, 0, 0, 28
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\EntityHandler.lua", "Lua", 0, 0, 1242, 0, 44, 16, 1302
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\EntityHandlerV2\Animator.lua", "Lua", 0, 0, 58, 0, 6, 5, 69
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\EntityHandlerV2\EntityHolder.lua", "Lua", 0, 0, 19, 0, 0, 0, 19
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\EntityHandlerV2\EntityReplicator\Client.lua", "Lua", 0, 0, 158, 0, 1, 0, 159
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\EntityHandlerV2\EntityReplicator\ReplicatorUtils.lua", "Lua", 0, 0, 139, 0, 3, 5, 147
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\EntityHandlerV2\EntityReplicator\Server.lua", "Lua", 0, 0, 1, 0, 0, 0, 1
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\EntityHandlerV2\Render.lua", "Lua", 0, 0, 154, 0, 1, 3, 158
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\EntityHandlerV2\Updater.lua", "Lua", 0, 0, 14, 0, 0, 0, 14
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\EntityHandlerV2\Utils.lua", "Lua", 0, 0, 354, 0, 6, 14, 374
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\EntityHandlerV2\init.lua", "Lua", 0, 0, 273, 0, 21, 7, 301
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\EntityMovers\Curve.lua", "Lua", 0, 0, 79, 0, 7, 1, 87
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\EntityMovers\MoveTo.lua", "Lua", 0, 0, 58, 0, 2, 0, 60
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\EntityMovers\init.lua", "Lua", 0, 0, 5, 0, 0, 0, 5
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\Events\DoSmt.model.json", "JSON", 0, 3, 0, 0, 0, 1, 4
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\Events\EntityUpdater.model.json", "JSON", 0, 3, 0, 0, 0, 1, 4
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\Events\GetChunk.model.json", "JSON", 0, 3, 0, 0, 0, 1, 4
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\Events\KB.model.json", "JSON", 0, 3, 0, 0, 0, 1, 4
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\Events\LOAD.model.json", "JSON", 0, 3, 0, 0, 0, 1, 4
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\Events\OnDeath.model.json", "JSON", 0, 3, 0, 0, 0, 1, 4
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\Events\Respawn.model.json", "JSON", 0, 3, 0, 0, 0, 1, 4
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\Events\SendEntities.model.json", "JSON", 0, 3, 0, 0, 0, 1, 4
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\Events\ServerFPS.model.json", "JSON", 0, 3, 0, 0, 0, 1, 4
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\GameSettings.lua", "Lua", 0, 0, 68, 0, 8, 0, 76
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\ItemHandler.lua", "Lua", 0, 0, 94, 0, 0, 1, 95
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\Libarys\BlockPool.lua", "Lua", 0, 0, 113, 0, 2, 5, 120
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\Libarys\Debris.lua", "Lua", 0, 0, 53, 0, 0, 0, 53
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\Libarys\EntityAttribute.lua", "Lua", 0, 0, 153, 0, 5, 0, 158
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\Libarys\ErrorHandler.lua", "Lua", 0, 0, 10, 0, 0, 0, 10
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\Libarys\MathFunctions.lua", "Lua", 0, 0, 183, 0, 3, 8, 194
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\Libarys\ModingRemote\init.lua", "Lua", 0, 0, 56, 0, 0, 1, 57
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\Libarys\PlayerControls.lua", "Lua", 0, 0, 73, 0, 0, 5, 78
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\Libarys\ProxyTable.lua", "Lua", 0, 0, 64, 0, 0, 0, 64
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\Libarys\RotationData.lua", "Lua", 0, 0, 179, 0, 0, 0, 179
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\Libarys\Signal.lua", "Lua", 0, 0, 58, 0, 1, 17, 76
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\Libarys\compressor.lua", "Lua", 0, 0, 169, 0, 2, 12, 183
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\Libarys\lualzw.lua", "Lua", 0, 0, 146, 0, 1, 18, 165
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\Managers\ArmsManager.lua", "Lua", 0, 0, 188, 0, 1, 3, 192
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\Managers\CraftingManager.lua", "Lua", 0, 0, 144, 0, 3, 3, 150
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\Managers\HotBarManager.lua", "Lua", 0, 0, 68, 0, 0, 0, 68
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\Managers\InventoryManager.lua", "Lua", 0, 0, 129, 0, 18, 3, 150
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\Managers\PlayerDollHandler.lua", "Lua", 0, 0, 38, 0, 0, 1, 39
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\Managers\UIContainerManager.lua", "Lua", 0, 0, 311, 0, 2, 9, 322
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\Managers\init.lua", "Lua", 0, 0, 11, 0, 0, 0, 11
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\ModHandler\init.lua", "Lua", 0, 0, 223, 0, 9, 29, 261
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\QuickFunctions\init.lua", "Lua", 0, 0, 498, 0, 15, 4, 517
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\Ray.lua", "Lua", 0, 0, 98, 0, 1, 0, 99
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\ResourceHandler.lua", "Lua", 0, 0, 93, 0, 6, 3, 102
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerScriptService\__Init__.server.lua", "Lua", 0, 0, 251, 0, 18, 8, 277
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\DataStores\BlockSaver.lua", "Lua", 0, 0, 90, 0, 6, 0, 96
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\DataStores\init.lua", "Lua", 0, 0, 2, 0, 0, 1, 3
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\Deepslate\core\Holder.lua", "Lua", 0, 0, 32, 0, 0, 4, 36
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\Deepslate\core\Identifier.lua", "Lua", 0, 0, 35, 0, 6, 7, 48
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\Deepslate\core\Registry.lua", "Lua", 0, 0, 72, 0, 0, 0, 72
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\Deepslate\core\Storage.lua", "Lua", 0, 0, 22, 0, 0, 2, 24
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\Deepslate\core\init.lua", "Lua", 0, 0, 1, 0, 0, 0, 1
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\Deepslate\init.lua", "Lua", 0, 0, 10, 0, 0, 0, 10
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\Deepslate\math\CubicSpline.lua", "Lua", 0, 0, 176, 0, 5, 7, 188
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\Deepslate\math\Hash.lua", "Lua", 0, 0, 17, 0, 1, 3, 21
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\Deepslate\math\RandomObject.lua", "Lua", 0, 0, 33, 0, 0, 4, 37
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\Deepslate\math\Utils.lua", "Lua", 0, 0, 82, 0, 2, 9, 93
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\Deepslate\math\init.lua", "Lua", 0, 0, 7, 0, 0, 0, 7
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\Deepslate\math\noise\BlendedNoise.lua", "Lua", 0, 0, 68, 0, 0, 3, 71
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\Deepslate\math\noise\ImprovedNoise.lua", "Lua", 0, 0, 73, 0, 2, 10, 85
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\Deepslate\math\noise\NormalNoise.lua", "Lua", 0, 0, 30, 0, 0, 6, 36
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\Deepslate\math\noise\PerlineNoise.lua", "Lua", 0, 0, 65, 0, 1, 7, 73
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\Deepslate\math\noise\SimplexNoise.lua", "Lua", 0, 0, 124, 0, 0, 9, 133
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\Deepslate\math\noise\init.lua", "Lua", 0, 0, 7, 0, 0, 0, 7
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\Deepslate\worldgen\DensityFunction.lua", "Lua", 0, 0, 744, 0, 3, 61, 808
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\Deepslate\worldgen\NoiseGeneratorSettings.lua", "Lua", 0, 0, 36, 0, 8, 5, 49
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\Deepslate\worldgen\NoiseParameters.lua", "Lua", 0, 0, 8, 0, 0, 0, 8
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\Deepslate\worldgen\NoiseRouter.lua", "Lua", 0, 0, 120, 0, 0, 17, 137
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\Deepslate\worldgen\NoiseSettings.lua", "Lua", 0, 0, 49, 0, 0, 8, 57
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\Deepslate\worldgen\RandomState.lua", "Lua", 0, 0, 114, 0, 1, 4, 119
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\Deepslate\worldgen\WorldgenRegistries.lua", "Lua", 0, 0, 30, 0, 0, 0, 30
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\Deepslate\worldgen\biome\BiomeParser.lua", "Lua", 0, 0, 25, 0, 0, 0, 25
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\Deepslate\worldgen\biome\Climate.lua", "Lua", 0, 0, 329, 0, 1, 31, 361
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\Deepslate\worldgen\biome\FeatureParser.lua", "Lua", 0, 0, 78, 0, 18, 2, 98
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\Deepslate\worldgen\biome\MultiNoiseBiomeSource.lua", "Lua", 0, 0, 29, 0, 0, 2, 31
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\EntityAttributesCreator.lua", "Lua", 0, 0, 218, 0, 10, 3, 231
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\GenerationHandler\BiomeHandler.lua", "Lua", 0, 0, 186, 0, 1, 3, 190
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\GenerationHandler\MultiHandler.lua", "Lua", 0, 0, 29, 0, 0, 0, 29
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\GenerationHandler\TerrianHandler.lua", "Lua", 0, 0, 631, 0, 25, 23, 679
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\GenerationHandler\init.lua", "Lua", 0, 0, 262, 0, 5, 12, 279
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\GenerationMultiHandler.lua", "Lua", 0, 0, 558, 0, 24, 22, 604
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\PathFinding.lua", "Lua", 0, 0, 253, 0, 26, 13, 292
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\PlayerControlsHandler.lua", "Lua", 0, 0, 35, 0, 0, 2, 37
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\ServerStuff\DataHandler.lua", "Lua", 0, 0, 221, 0, 14, 16, 251
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\ServerStuff\EntityHandler.lua", "Lua", 0, 0, 374, 0, 8, 2, 384
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\ServerStuff\EntityReplicatorServer.lua", "Lua", 0, 0, 194, 0, 8, 4, 206
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\ServerStuff\ServerChunk.lua", "Lua", 0, 0, 261, 0, 16, 4, 281
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\ServerStuff\SharedService.lua", "Lua", 0, 0, 54, 0, 3, 3, 60
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\StarterPlayer\StarterPlayerScripts\ClientStuff\ClientChunk.lua", "Lua", 0, 0, 20, 0, 0, 1, 21
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\StarterPlayer\StarterPlayerScripts\ControllerOLD.lua", "Lua", 0, 0, 510, 0, 12, 6, 528
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\StarterPlayer\StarterPlayerScripts\Controller\init.lua", "Lua", 0, 0, 4, 0, 0, 0, 4
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\StarterPlayer\StarterPlayerScripts\PlayerSettings.lua", "Lua", 0, 0, 0, 0, 0, 1, 1
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\StarterPlayer\StarterPlayerScripts\Render\BlockHandler.lua", "Lua", 0, 0, 185, 0, 4, 1, 190
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\StarterPlayer\StarterPlayerScripts\Render\ChunkShared.lua", "Lua", 0, 0, 59, 0, 1, 4, 64
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\StarterPlayer\StarterPlayerScripts\Render\GreedyMesh.lua", "Lua", 0, 0, 203, 0, 3, 0, 206
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\StarterPlayer\StarterPlayerScripts\Render\MultiHandler.lua", "Lua", 0, 0, 117, 0, 12, 9, 138
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\StarterPlayer\StarterPlayerScripts\Render\RenderMultiFunctions.lua", "Lua", 0, 0, 106, 0, 0, 2, 108
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\StarterPlayer\StarterPlayerScripts\Render\init.lua", "Lua", 0, 0, 220, 0, 9, 3, 232
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\StarterPlayer\StarterPlayerScripts\ServerFpsHandler.lua", "Lua", 0, 0, 12, 0, 1, 0, 13
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\StarterPlayer\StarterPlayerScripts\Test\EntityHandlerV2.lua", "Lua", 0, 0, 65, 0, 4, 1, 70
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\StarterPlayer\StarterPlayerScripts\__init__.client.lua", "Lua", 0, 0, 411, 0, 29, 9, 449
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\Workspace\SimplexModule.lua", "Lua", 0, 0, 253, 0, 3, 58, 314
"Total", "-", 2, 78, 20284, 12, 572, 1008, 21956
